,geo_value,geo_type,value,time_value
2264554,42001,county,0.0,2021-06-27
2264556,42001,county,0.0,2021-06-28
2264558,42001,county,6.0,2021-06-29
2264560,42001,county,5.0,2021-06-30
2264562,42001,county,0.0,2021-07-01
2264564,42001,county,2.0,2021-07-02
2264566,42001,county,3.0,2021-07-03
2264568,42001,county,1.0,2021-07-04
2264570,42001,county,1.0,2021-07-05
2264572,42001,county,7.0,2021-07-06
2264574,42001,county,1.0,2021-07-07
2264576,42001,county,2.0,2021-07-08
2264578,42001,county,4.0,2021-07-09
2264580,42001,county,1.0,2021-07-10
2264582,42001,county,2.0,2021-07-11
2264584,42001,county,1.0,2021-07-12
2264586,42001,county,3.0,2021-07-13
2264588,42001,county,3.0,2021-07-14
2264590,42001,county,2.0,2021-07-15
2264592,42001,county,6.0,2021-07-16
2264594,42001,county,4.0,2021-07-17
2264596,42001,county,4.0,2021-07-18
2264598,42001,county,8.0,2021-07-19
2264600,42001,county,11.0,2021-07-20
2264602,42001,county,10.0,2021-07-21
2264604,42001,county,8.0,2021-07-22
2264606,42001,county,5.0,2021-07-23
2264608,42001,county,8.0,2021-07-24
2264610,42001,county,2.0,2021-07-25
2264612,42001,county,5.0,2021-07-26
2264614,42001,county,12.0,2021-07-27
2264616,42001,county,12.0,2021-07-28
2264618,42001,county,17.0,2021-07-29
2264620,42001,county,9.0,2021-07-30
2264622,42001,county,12.0,2021-07-31
2264624,42001,county,12.0,2021-08-01
2264626,42001,county,14.0,2021-08-02
2264628,42001,county,14.0,2021-08-03
2264630,42001,county,10.0,2021-08-04
2264632,42001,county,22.0,2021-08-05
2264634,42001,county,22.0,2021-08-06
2264636,42001,county,20.0,2021-08-07
2264638,42001,county,10.0,2021-08-08
2264640,42001,county,14.0,2021-08-09
2264642,42001,county,13.0,2021-08-10
2264644,42001,county,30.0,2021-08-11
2264646,42001,county,12.0,2021-08-12
2264648,42001,county,28.0,2021-08-13
2264650,42001,county,20.0,2021-08-14
2264652,42001,county,24.0,2021-08-15
2264654,42001,county,16.0,2021-08-16
2264656,42001,county,30.0,2021-08-17
2264658,42001,county,17.0,2021-08-18
2264660,42001,county,28.0,2021-08-19
2264662,42001,county,30.0,2021-08-20
2264664,42001,county,16.0,2021-08-21
2264666,42001,county,32.0,2021-08-22
2264668,42001,county,31.0,2021-08-23
2264670,42001,county,28.0,2021-08-24
2264672,42001,county,26.0,2021-08-25
2264674,42001,county,32.0,2021-08-26
2264676,42001,county,37.0,2021-08-27
2264678,42001,county,51.0,2021-08-28
2264680,42001,county,30.0,2021-08-29
2264682,42001,county,30.0,2021-08-30
2264684,42001,county,26.0,2021-08-31
2264686,42001,county,35.0,2021-09-01
2264688,42001,county,57.0,2021-09-02
2264690,42001,county,37.0,2021-09-03
2264692,42001,county,47.0,2021-09-04
2264694,42001,county,35.0,2021-09-05
2264696,42001,county,35.0,2021-09-06
2264698,42001,county,38.0,2021-09-07
2264700,42001,county,43.0,2021-09-08
2264702,42001,county,72.0,2021-09-09
2264704,42001,county,55.0,2021-09-10
2264706,42001,county,42.0,2021-09-11
2264708,42001,county,74.0,2021-09-12
2264710,42001,county,42.0,2021-09-13
2264712,42001,county,50.0,2021-09-14
2264714,42001,county,74.0,2021-09-15
2264716,42001,county,62.0,2021-09-16
2264718,42001,county,41.0,2021-09-17
2264720,42001,county,62.0,2021-09-18
2264722,42001,county,57.0,2021-09-19
2264724,42001,county,25.0,2021-09-20
2264726,42001,county,40.0,2021-09-21
2264728,42001,county,63.0,2021-09-22
2264730,42001,county,38.0,2021-09-23
2264732,42001,county,48.0,2021-09-24
2264734,42001,county,46.0,2021-09-25
2264736,42001,county,46.0,2021-09-26
2264738,42001,county,50.0,2021-09-27
2264740,42001,county,41.0,2021-09-28
2264742,42001,county,64.0,2021-09-29
2264744,42001,county,65.0,2021-09-30
2264746,42001,county,37.0,2021-10-01
2264748,42001,county,28.0,2021-10-02
2264750,42001,county,84.0,2021-10-03
2264752,42001,county,59.0,2021-10-04
2264754,42001,county,30.0,2021-10-05
2264756,42001,county,47.0,2021-10-06
2264758,42001,county,60.0,2021-10-07
2264760,42001,county,43.0,2021-10-08
2264762,42001,county,46.0,2021-10-09
2264764,42001,county,26.0,2021-10-10
2264766,42001,county,34.0,2021-10-11
2264768,42001,county,43.0,2021-10-12
2264770,42001,county,55.0,2021-10-13
2264772,42001,county,55.0,2021-10-14
2264774,42001,county,58.0,2021-10-15
2264776,42001,county,65.0,2021-10-16
2264778,42001,county,46.0,2021-10-17
2264780,42001,county,25.0,2021-10-18
2264782,42001,county,41.0,2021-10-19
2264784,42001,county,53.0,2021-10-20
2264786,42001,county,43.0,2021-10-21
2264788,42001,county,45.0,2021-10-22
2264790,42001,county,53.0,2021-10-23
2264792,42001,county,29.0,2021-10-24
2264794,42001,county,33.0,2021-10-25
2264796,42001,county,24.0,2021-10-26
2264798,42001,county,47.0,2021-10-27
2264800,42001,county,41.0,2021-10-28
2264802,42001,county,50.0,2021-10-29
2264804,42001,county,47.0,2021-10-30
2264806,42001,county,33.0,2021-10-31
2264808,42001,county,31.0,2021-11-01
2264810,42001,county,30.0,2021-11-02
2264812,42001,county,40.0,2021-11-03
2264814,42001,county,47.0,2021-11-04
2264816,42001,county,54.0,2021-11-05
2264818,42001,county,45.0,2021-11-06
2264820,42001,county,25.0,2021-11-07
2264822,42001,county,30.0,2021-11-08
2264824,42001,county,26.0,2021-11-09
2264826,42001,county,42.0,2021-11-10
2264828,42001,county,54.0,2021-11-11
2264830,42001,county,57.0,2021-11-12
2264832,42001,county,47.0,2021-11-13
2264834,42001,county,38.0,2021-11-14
2264836,42001,county,26.0,2021-11-15
2264838,42001,county,47.0,2021-11-16
2264840,42001,county,59.0,2021-11-17
2264842,42001,county,32.0,2021-11-18
2264844,42001,county,40.0,2021-11-19
2264846,42001,county,30.0,2021-11-20
2264848,42001,county,49.0,2021-11-21
2264850,42001,county,28.0,2021-11-22
2264852,42001,county,40.0,2021-11-23
2264854,42001,county,56.0,2021-11-24
2264856,42001,county,42.0,2021-11-25
2264858,42001,county,32.0,2021-11-26
2264860,42001,county,30.0,2021-11-27
2264862,42001,county,52.0,2021-11-28
2264864,42001,county,23.0,2021-11-29
2264866,42001,county,55.0,2021-11-30
2264868,42001,county,67.0,2021-12-01
2264870,42001,county,80.0,2021-12-02
2264872,42001,county,45.0,2021-12-03
2264874,42001,county,91.0,2021-12-04
2264876,42001,county,53.0,2021-12-05
2264878,42001,county,43.0,2021-12-06
2264880,42001,county,70.0,2021-12-07
2264882,42001,county,66.0,2021-12-08
2264884,42001,county,66.0,2021-12-09
2264886,42001,county,83.0,2021-12-10
2264888,42001,county,84.0,2021-12-11
2264890,42001,county,77.0,2021-12-12
2264892,42001,county,67.0,2021-12-13
2264894,42001,county,55.0,2021-12-14
2264896,42001,county,85.0,2021-12-15
2264898,42001,county,89.0,2021-12-16
2264900,42001,county,89.0,2021-12-17
2264902,42001,county,98.0,2021-12-18
2264904,42001,county,84.0,2021-12-19
2264906,42001,county,69.0,2021-12-20
2264908,42001,county,128.0,2021-12-21
2264910,42001,county,542.0,2021-12-22
2264912,42001,county,273.0,2021-12-23
2264914,42001,county,236.0,2021-12-24
2264916,42001,county,147.0,2021-12-25
2264918,42001,county,77.0,2021-12-26
2264920,42001,county,114.0,2021-12-27
2264922,42001,county,113.0,2021-12-28
2264924,42001,county,149.0,2021-12-29
2264926,42001,county,162.0,2021-12-30
2264928,42001,county,244.0,2021-12-31
2264930,42003,county,24.0,2020-05-01
2264931,42003,county,15.0,2020-05-02
2264932,42003,county,10.0,2020-05-03
2264933,42003,county,20.0,2020-05-04
2264934,42003,county,8.0,2020-05-05
2264935,42003,county,21.0,2020-05-06
2264936,42003,county,43.0,2020-05-07
2264937,42003,county,12.0,2020-05-08
2264938,42003,county,29.0,2020-05-09
2264939,42003,county,16.0,2020-05-10
2264940,42003,county,7.0,2020-05-11
2264941,42003,county,15.0,2020-05-12
2264942,42003,county,17.0,2020-05-13
2264943,42003,county,9.0,2020-05-14
2264944,42003,county,31.0,2020-05-15
2264945,42003,county,7.0,2020-05-16
2264946,42003,county,6.0,2020-05-17
2264947,42003,county,32.0,2020-05-18
2264948,42003,county,19.0,2020-05-19
2264949,42003,county,25.0,2020-05-20
2264950,42003,county,35.0,2020-05-21
2264951,42003,county,22.0,2020-05-22
2264952,42003,county,10.0,2020-05-23
2264953,42003,county,24.0,2020-05-24
2264954,42003,county,19.0,2020-05-25
2264955,42003,county,12.0,2020-05-26
2264956,42003,county,12.0,2020-05-27
2264957,42003,county,23.0,2020-05-28
2264958,42003,county,20.0,2020-05-29
2264959,42003,county,21.0,2020-05-30
2264960,42003,county,12.0,2020-05-31
2264961,42003,county,7.0,2020-06-01
2264962,42003,county,9.0,2020-06-02
2264963,42003,county,19.0,2020-06-03
2264964,42003,county,18.0,2020-06-04
2264965,42003,county,9.0,2020-06-05
2264966,42003,county,12.0,2020-06-06
2264967,42003,county,19.0,2020-06-07
2264968,42003,county,5.0,2020-06-08
2264969,42003,county,19.0,2020-06-09
2264970,42003,county,7.0,2020-06-10
2264971,42003,county,22.0,2020-06-11
2264972,42003,county,11.0,2020-06-12
2264973,42003,county,10.0,2020-06-13
2264974,42003,county,2.0,2020-06-14
2264975,42003,county,6.0,2020-06-15
2264976,42003,county,25.0,2020-06-16
2264977,42003,county,6.0,2020-06-17
2264978,42003,county,9.0,2020-06-18
2264979,42003,county,16.0,2020-06-19
2264980,42003,county,20.0,2020-06-20
2264981,42003,county,18.0,2020-06-21
2264982,42003,county,44.0,2020-06-22
2264983,42003,county,27.0,2020-06-23
2264984,42003,county,41.0,2020-06-24
2264985,42003,county,40.0,2020-06-25
2264986,42003,county,59.0,2020-06-26
2264987,42003,county,93.0,2020-06-27
2264988,42003,county,105.0,2020-06-28
2264989,42003,county,98.0,2020-06-29
2264990,42003,county,86.0,2020-06-30
2264991,42003,county,112.0,2020-07-01
2264992,42003,county,231.0,2020-07-02
2264993,42003,county,173.0,2020-07-03
2264994,42003,county,158.0,2020-07-04
2264995,42003,county,123.0,2020-07-05
2264996,42003,county,216.0,2020-07-06
2264997,42003,county,214.0,2020-07-07
2264998,42003,county,222.0,2020-07-08
2264999,42003,county,200.0,2020-07-09
2265000,42003,county,149.0,2020-07-10
2265001,42003,county,202.0,2020-07-11
2265002,42003,county,191.0,2020-07-12
2265003,42003,county,84.0,2020-07-13
2265004,42003,county,319.0,2020-07-14
2265005,42003,county,250.0,2020-07-15
2265006,42003,county,166.0,2020-07-16
2265007,42003,county,229.0,2020-07-17
2265008,42003,county,127.0,2020-07-18
2265009,42003,county,146.0,2020-07-19
2265010,42003,county,174.0,2020-07-20
2265011,42003,county,141.0,2020-07-21
2265012,42003,county,110.0,2020-07-22
2265013,42003,county,158.0,2020-07-23
2265014,42003,county,184.0,2020-07-24
2265015,42003,county,158.0,2020-07-25
2265016,42003,county,115.0,2020-07-26
