,fips,hrr
2264100,42001,352
2264101,42001,363
2264102,42001,352
2264103,42001,363
2264104,42001,352
2264105,42001,363
2264106,42001,352
2264107,42001,363
2264108,42001,352
2264109,42001,363
2264110,42001,352
2264111,42001,363
2264112,42001,352
2264113,42001,363
2264114,42001,352
2264115,42001,363
2264116,42001,352
2264117,42001,363
2264118,42001,352
2264119,42001,363
2264120,42001,352
2264121,42001,363
2264122,42001,352
2264123,42001,363
2264124,42001,352
2264125,42001,363
2264126,42001,352
2264127,42001,363
2264128,42001,352
2264129,42001,363
2264130,42001,352
2264131,42001,363
2264132,42001,352
2264133,42001,363
2264134,42001,352
2264135,42001,363
2264136,42001,352
2264137,42001,363
2264138,42001,352
2264139,42001,363
2264140,42001,352
2264141,42001,363
2264142,42001,352
2264143,42001,363
2264144,42001,352
2264145,42001,363
2264146,42001,352
2264147,42001,363
2264148,42001,352
2264149,42001,363
2264150,42001,352
2264151,42001,363
2264152,42001,352
2264153,42001,363
2264154,42001,352
2264155,42001,363
2264156,42001,352
2264157,42001,363
2264158,42001,352
2264159,42001,363
2264160,42001,352
2264161,42001,363
2264162,42001,352
2264163,42001,363
2264164,42001,352
2264165,42001,363
2264166,42001,352
2264167,42001,363
2264168,42001,352
2264169,42001,363
2264170,42001,352
2264171,42001,363
2264172,42001,352
2264173,42001,363
2264174,42001,352
2264175,42001,363
2264176,42001,352
2264177,42001,363
2264178,42001,352
2264179,42001,363
2264180,42001,352
2264181,42001,363
2264182,42001,352
2264183,42001,363
2264184,42001,352
2264185,42001,363
2264186,42001,352
2264187,42001,363
2264188,42001,352
2264189,42001,363
2264190,42001,352
2264191,42001,363
2264192,42001,352
2264193,42001,363
2264194,42001,352
2264195,42001,363
2264196,42001,352
2264197,42001,363
2264198,42001,352
2264199,42001,363
2264200,42001,352
2264201,42001,363
2264202,42001,352
2264203,42001,363
2264204,42001,352
2264205,42001,363
2264206,42001,352
2264207,42001,363
2264208,42001,352
2264209,42001,363
2264210,42001,352
2264211,42001,363
2264212,42001,352
2264213,42001,363
2264214,42001,352
2264215,42001,363
2264216,42001,352
2264217,42001,363
2264218,42001,352
2264219,42001,363
2264220,42001,352
2264221,42001,363
2264222,42001,352
2264223,42001,363
2264224,42001,352
2264225,42001,363
2264226,42001,352
2264227,42001,363
2264228,42001,352
2264229,42001,363
2264230,42001,352
2264231,42001,363
2264232,42001,352
2264233,42001,363
2264234,42001,352
2264235,42001,363
2264236,42001,352
2264237,42001,363
2264238,42001,352
2264239,42001,363
2264240,42001,352
2264241,42001,363
2264242,42001,352
2264243,42001,363
2264244,42001,352
2264245,42001,363
2264246,42001,352
2264247,42001,363
2264248,42001,352
2264249,42001,363
2264250,42001,352
2264251,42001,363
2264252,42001,352
2264253,42001,363
2264254,42001,352
2264255,42001,363
2264256,42001,352
2264257,42001,363
2264258,42001,352
2264259,42001,363
2264260,42001,352
2264261,42001,363
2264262,42001,352
2264263,42001,363
2264264,42001,352
2264265,42001,363
2264266,42001,352
2264267,42001,363
2264268,42001,352
2264269,42001,363
2264270,42001,352
2264271,42001,363
2264272,42001,352
2264273,42001,363
2264274,42001,352
2264275,42001,363
2264276,42001,352
2264277,42001,363
2264278,42001,352
2264279,42001,363
2264280,42001,352
2264281,42001,363
2264282,42001,352
2264283,42001,363
2264284,42001,352
2264285,42001,363
2264286,42001,352
2264287,42001,363
2264288,42001,352
2264289,42001,363
2264290,42001,352
2264291,42001,363
2264292,42001,352
2264293,42001,363
2264294,42001,352
2264295,42001,363
2264296,42001,352
2264297,42001,363
2264298,42001,352
2264299,42001,363
2264300,42001,352
2264301,42001,363
2264302,42001,352
2264303,42001,363
2264304,42001,352
2264305,42001,363
2264306,42001,352
2264307,42001,363
2264308,42001,352
2264309,42001,363
2264310,42001,352
2264311,42001,363
2264312,42001,352
2264313,42001,363
2264314,42001,352
2264315,42001,363
2264316,42001,352
2264317,42001,363
2264318,42001,352
2264319,42001,363
2264320,42001,352
2264321,42001,363
2264322,42001,352
2264323,42001,363
2264324,42001,352
2264325,42001,363
2264326,42001,352
2264327,42001,363
2264328,42001,352
2264329,42001,363
2264330,42001,352
2264331,42001,363
2264332,42001,352
2264333,42001,363
2264334,42001,352
2264335,42001,363
2264336,42001,352
2264337,42001,363
2264338,42001,352
2264339,42001,363
2264340,42001,352
2264341,42001,363
2264342,42001,352
2264343,42001,363
2264344,42001,352
2264345,42001,363
2264346,42001,352
2264347,42001,363
2264348,42001,352
2264349,42001,363
2264350,42001,352
2264351,42001,363
2264352,42001,352
2264353,42001,363
2264354,42001,352
2264355,42001,363
2264356,42001,352
2264357,42001,363
2264358,42001,352
2264359,42001,363
2264360,42001,352
2264361,42001,363
2264362,42001,352
2264363,42001,363
2264364,42001,352
2264365,42001,363
2264366,42001,352
2264367,42001,363
2264368,42001,352
2264369,42001,363
2264370,42001,352
2264371,42001,363
2264372,42001,352
2264373,42001,363
2264374,42001,352
2264375,42001,363
2264376,42001,352
2264377,42001,363
2264378,42001,352
2264379,42001,363
2264380,42001,352
2264381,42001,363
2264382,42001,352
2264383,42001,363
2264384,42001,352
2264385,42001,363
2264386,42001,352
2264387,42001,363
2264388,42001,352
2264389,42001,363
2264390,42001,352
2264391,42001,363
2264392,42001,352
2264393,42001,363
2264394,42001,352
2264395,42001,363
2264396,42001,352
2264397,42001,363
2264398,42001,352
2264399,42001,363
2264400,42001,352
2264401,42001,363
2264402,42001,352
2264403,42001,363
2264404,42001,352
2264405,42001,363
2264406,42001,352
2264407,42001,363
2264408,42001,352
2264409,42001,363
2264410,42001,352
2264411,42001,363
2264412,42001,352
2264413,42001,363
2264414,42001,352
2264415,42001,363
2264416,42001,352
2264417,42001,363
2264418,42001,352
2264419,42001,363
2264420,42001,352
2264421,42001,363
2264422,42001,352
2264423,42001,363
2264424,42001,352
2264425,42001,363
2264426,42001,352
2264427,42001,363
2264428,42001,352
2264429,42001,363
